EmployeeID,Age,Gender,Department,Education,PriorCompanies,YearsAtCompany,MonthlyIncome,DistanceFromHome,OverTime,PerformanceRating,Attrition
E0390,24.0,Male,Sales,Bachelors,1,1.2,8576.0,3.0,No,Medium,No
E0122,36.0,Male,Marketing,High School,1,29.3,4869.0,1.1,No,Medium,No
E0523,46.0,Female ,Sales,Bachelors,1,4.6,1889.0,13.5,Yes,Medium,Yes
E0310,49.0,Male,Sales,Masters,3+,1.2,19591.0,18.8,Yes,Low,No
E0647,40.0,Female,Engineering,PhD,0,10.1,14041.0,,NO,Medium,No
E0585,41.0,Male,Sales,Bachelors,2,4.9,3296.0,1.7,No,Excellent,Yes
E0544,,Male ,Marketing,Bachelors,1,1.9,13846.0,0.8,No,Medium,No
E0694,,Female,Marketing,Bachelors,3+,1.6,3529.0,0.2,No,Excellent,No
E0586,51.0,Male,Finance,High School,0,0.5,3261.0,2.1,Yes,High,Yes
E0503,29.0,Male,Sales,Masters,2,0.1,4121.0,6.1,No,Excellent,No
E0302,23.0,Male,Sales,PhD,3+,0.5,5250.0,,No,High,No
E0500,23.0,Male,Sales,PhD,1,0.2,3763.0,12.8,Yes,Medium,Yes
E0546,34.0,Male,Marketing,High School,0,0.5,4446.0,0.4,No,Excellent,Yes
E0670,20.0,Female,Sales,Bachelors,2,0.8,8783.0,0.5,yes,Medium,No
E0347,30.0,Female,Sales,Masters,0,2.7,4795.0,7.5,Yes,Medium,Yes
E0180,37.0,Male,Finance,Bachelors,3+,2.4,6192.0,20.6,Yes,Low,No
E0154,31.0,Male,Engineering,Bachelors,2,3.3,49799.0,2.6,No,Medium,No
E0373,42.0,Male,Marketing,Masters,2,4.0,5259.0,2.1,NO,High,Yes
E0652,34.0,Female,Sales,Bachelors,2,11.6,3589.0,1.0,No,Excellent,No
E0543,37.0,Male,Engineering,Masters,0,5.5,4521.0,1.5,Yes,High,Yes
E0088,35.0,Female,Marketing,Bachelors,0,6.0,5168.0,15.8,no,High,No
