Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Guarantor_Income
LP001001,Male,Yes,0,Not Graduate,No,1686.0,1020,80.0,360.0,1.0,Semiurban,Y,
LP001002,Male,Yes,0,Not Graduate,No,2437.0,1201,122.0,360.0,1.0,Urban,Y,1935.0
LP001003,Female,No,0,Graduate,No,8313.0,1065,319.0,360.0,1.0,Urban,Y,965.0
LP001004,Male,Yes,0,Graduate,No,5069.0,0,218.0,360.0,1.0,Semiurban,Y,
LP001005,Male,No,2,Graduate,No,3002.0,2283,194.0,360.0,0.0,Urban,N,
LP001006,Female,Yes,0,Graduate,No,3918.0,1966,219.0,360.0,1.0,,Y,3607.0
LP001007,Male,No,0,Graduate,No,4255.0,2274,205.0,360.0,1.0,Rural,Y,
LP001008,,Yes,0,Not Graduate,Yes,5890.0,2699,305.0,360.0,1.0,Urban,Y,2959.0
LP001009,Male,No,0,Not Graduate,No,2296.0,1371,104.0,360.0,1.0,Semiurban,Y,4352.0
LP001010,Male,Yes,0,Graduate,No,2897.0,4815,228.0,240.0,1.0,Semiurban,Y,
LP001011,Male,Yes,1,Graduate,No,4783.0,0,245.0,360.0,1.0,Urban,Y,
LP001012,Female,No,0,Not Graduate,No,4044.0,1541,203.0,360.0,1.0,Urban,Y,
LP001013,Male,No,2,Not Graduate,No,5472.0,0,189.0,360.0,1.0,Urban,Y,
LP001014,Female,No,3+,Graduate,No,2433.0,664,118.0,360.0,,Urban,Y,
LP001015,Male,Yes,0,Graduate,No,4968.0,1243,196.0,360.0,1.0,Urban,Y,
LP001016,Male,Yes,0,Not Graduate,No,6913.0,3600,337.0,360.0,1.0,Urban,Y,
LP001017,Male,,0,Graduate,No,5266.0,0,185.0,360.0,1.0,Urban,Y,3467.0
LP001018,Male,Yes,1,Graduate,No,4503.0,0,169.0,360.0,1.0,Rural,Y,4418.0
LP001019,Female,No,0,Not Graduate,Yes,4052.0,4948,309.0,360.0,1.0,Urban,Y,
LP001020,Male,No,2,Not Graduate,No,2905.0,1601,171.0,180.0,1.0,Urban,Y,2922.0
LP001021,Male,No,2,Not Graduate,No,4095.0,0,177.0,360.0,0.0,Semiurban,N,
LP001022,Male,No,2,Not Graduate,Yes,7457.0,3911,369.0,360.0,0.0,Urban,N,
LP001023,Female,No,0,Graduate,Yes,4010.0,0,147.0,360.0,1.0,Semiurban,Y,
LP001024,Female,No,3+,Graduate,No,2834.0,3363,204.0,360.0,1.0,Urban,Y,
LP001025,Male,Yes,0,,No,3390.0,0,120.0,360.0,1.0,Semiurban,Y,
LP001026,Male,Yes,0,Graduate,No,4630.0,0,178.0,360.0,1.0,Semiurban,Y,
LP001027,Male,Yes,0,Graduate,,3576.0,0,154.0,360.0,1.0,Semiurban,Y,
LP001028,,No,3+,Graduate,No,5263.0,2454,263.0,,1.0,,Y,6215.0
LP001029,Male,Yes,0,Graduate,No,5352.0,4003,320.0,360.0,0.0,Semiurban,N,
LP001030,Male,Yes,2,Graduate,No,6311.0,1789,337.0,360.0,0.0,Urban,N,
LP001031,Male,No,0,Graduate,Yes,8027.0,932,340.0,360.0,1.0,Urban,Y,
LP001032,Female,Yes,3+,Graduate,No,6622.0,0,294.0,360.0,1.0,Semiurban,Y,
LP001033,Male,Yes,0,Graduate,No,2778.0,0,125.0,360.0,1.0,Urban,Y,
LP001034,Male,No,0,Graduate,No,2817.0,0,76.0,180.0,1.0,Urban,Y,
LP001035,Male,No,3+,Not Graduate,Yes,4088.0,2531,199.0,180.0,0.0,Semiurban,N,1886.0
LP001036,Male,Yes,0,Graduate,Yes,3453.0,0,117.0,360.0,1.0,Urban,Y,
LP001037,Male,No,0,Graduate,No,2535.0,3164,159.0,360.0,,Urban,Y,
LP001038,Male,Yes,1,Graduate,No,3468.0,0,136.0,360.0,1.0,Semiurban,Y,
LP001039,Male,No,0,Graduate,No,3417.0,0,152.0,360.0,1.0,Semiurban,Y,5010.0
LP001040,Male,Yes,0,Graduate,,3126.0,0,156.0,360.0,1.0,Rural,Y,
LP001041,Male,Yes,0,Graduate,No,3670.0,0,155.0,360.0,1.0,Rural,N,
LP001042,Female,Yes,0,Graduate,No,7189.0,435,287.0,360.0,1.0,Rural,Y,2350.0
LP001043,Male,Yes,2,Graduate,No,4627.0,3225,214.0,120.0,1.0,Semiurban,Y,
LP001044,Male,No,1,Graduate,No,12866.0,0,480.0,360.0,1.0,Urban,Y,2644.0
LP001045,Female,Yes,0,Graduate,No,4568.0,1562,222.0,360.0,1.0,Semiurban,Y,5158.0
LP001046,Male,Yes,0,Graduate,No,3713.0,5516,291.0,360.0,1.0,Semiurban,Y,1890.0
LP001047,Male,Yes,0,Graduate,No,4238.0,1302,,360.0,,Semiurban,Y,
LP001048,,No,1,Graduate,No,4748.0,1329,254.0,360.0,1.0,Urban,Y,
LP001049,Male,No,3+,Not Graduate,,5145.0,1848,272.0,300.0,1.0,Urban,Y,
LP001050,Male,No,3+,Graduate,No,10770.0,2561,471.0,180.0,1.0,Urban,Y,4179.0
LP001051,Male,Yes,0,Graduate,No,2892.0,1533,141.0,360.0,1.0,Urban,Y,
LP001052,Male,Yes,0,Graduate,No,6227.0,777,266.0,180.0,1.0,,Y,
LP001053,Male,Yes,0,Graduate,Yes,4645.0,1189,196.0,360.0,1.0,Rural,Y,
LP001054,Male,Yes,0,Graduate,No,2086.0,0,96.0,360.0,1.0,Urban,Y,
LP001055,Male,No,0,Not Graduate,Yes,5984.0,2090,301.0,360.0,1.0,Semiurban,Y,
LP001056,Male,No,1,Not Graduate,Yes,7483.0,2619,338.0,360.0,1.0,Rural,Y,
LP001057,Male,Yes,0,Graduate,No,2876.0,0,145.0,360.0,1.0,Urban,Y,2393.0
LP001058,Male,Yes,0,Graduate,No,4213.0,1345,205.0,360.0,1.0,Semiurban,Y,
LP001059,Male,No,0,Not Graduate,No,1946.0,5467,171.0,360.0,1.0,Semiurban,Y,9130.0
LP001060,Male,Yes,0,Graduate,No,2401.0,0,95.0,120.0,1.0,Urban,Y,
LP001061,Male,Yes,0,Graduate,No,6779.0,1531,316.0,360.0,1.0,Semiurban,Y,
LP001062,Male,Yes,0,Graduate,No,3429.0,3857,258.0,240.0,0.0,Rural,N,3326.0
LP001063,Male,Yes,1,Graduate,Yes,2568.0,1295,127.0,360.0,1.0,Semiurban,Y,6417.0
LP001064,,Yes,0,Graduate,No,4690.0,0,208.0,120.0,0.0,Rural,N,
LP001065,Male,Yes,0,Graduate,No,3344.0,0,138.0,360.0,,Rural,Y,
LP001066,Male,Yes,0,Not Graduate,No,3423.0,1999,154.0,360.0,0.0,Urban,N,
LP001067,Male,Yes,2,Graduate,No,5900.0,0,201.0,360.0,0.0,Semiurban,Y,
LP001068,Male,Yes,0,Graduate,No,2508.0,0,128.0,120.0,0.0,Semiurban,N,
LP001069,Male,Yes,2,Graduate,No,2815.0,0,142.0,360.0,1.0,Semiurban,Y,1309.0
LP001070,Male,No,3+,Graduate,No,4534.0,0,189.0,,1.0,Semiurban,Y,
LP001071,Male,No,1,Graduate,No,6544.0,2430,360.0,180.0,1.0,Semiurban,Y,4158.0
LP001072,Male,Yes,1,Graduate,No,7385.0,2044,373.0,360.0,1.0,Rural,Y,
LP001073,Female,Yes,0,Graduate,No,3136.0,2051,194.0,120.0,,Urban,N,2778.0
LP001074,Male,No,3+,Graduate,No,6450.0,2316,293.0,360.0,0.0,Semiurban,N,3315.0
LP001075,Male,Yes,0,Graduate,Yes,2972.0,1964,211.0,360.0,1.0,Urban,Y,
LP001076,Male,Yes,3+,Graduate,No,9622.0,0,398.0,360.0,1.0,Semiurban,Y,2521.0
LP001077,Male,No,0,Graduate,No,2540.0,0,92.0,360.0,1.0,Semiurban,Y,3825.0
LP001078,Male,Yes,,Graduate,No,7691.0,0,291.0,360.0,1.0,Rural,Y,1910.0
LP001079,Male,No,0,Graduate,No,3148.0,0,132.0,360.0,,Semiurban,Y,
LP001080,Male,Yes,1,Not Graduate,No,10467.0,0,377.0,360.0,1.0,Semiurban,Y,
LP001081,Male,No,0,Graduate,No,5520.0,0,238.0,180.0,1.0,Urban,Y,
LP001082,Male,Yes,0,Graduate,Yes,2678.0,0,83.0,120.0,0.0,Urban,N,2941.0
LP001083,Female,Yes,1,Graduate,No,3344.0,815,163.0,360.0,1.0,Urban,Y,
LP001084,Male,Yes,2,Graduate,No,6012.0,2143,281.0,360.0,,Rural,Y,
LP001085,Male,Yes,0,Graduate,No,6793.0,1141,294.0,360.0,1.0,Urban,Y,2668.0
LP001086,Male,No,0,Graduate,,4098.0,1532,183.0,240.0,0.0,Rural,N,4231.0
LP001087,Male,Yes,0,Graduate,No,4316.0,3741,262.0,180.0,0.0,Urban,N,
LP001088,Male,Yes,2,Graduate,No,5951.0,0,285.0,360.0,1.0,Semiurban,Y,
LP001089,Male,No,0,Graduate,No,4489.0,2810,284.0,360.0,1.0,Semiurban,Y,
LP001090,Male,No,2,Graduate,No,2364.0,0,103.0,120.0,1.0,Semiurban,Y,
LP001091,Male,Yes,0,Not Graduate,No,2934.0,6016,267.0,240.0,1.0,Semiurban,Y,
LP001092,Male,Yes,0,Not Graduate,No,4702.0,0,209.0,,,Semiurban,Y,2819.0
LP001093,Male,No,0,Graduate,No,7310.0,5000,446.0,240.0,1.0,Rural,Y,
LP001094,Male,No,0,Not Graduate,No,8753.0,0,329.0,360.0,1.0,Semiurban,Y,
LP001095,Male,No,2,Graduate,No,6008.0,2825,309.0,360.0,1.0,Urban,Y,
LP001096,Male,No,0,Not Graduate,No,4814.0,1196,177.0,180.0,,Urban,Y,2482.0
LP001097,Male,No,0,Not Graduate,No,5925.0,2188,,360.0,,Semiurban,N,
LP001098,Male,Yes,3+,Graduate,Yes,3134.0,1506,215.0,360.0,1.0,Semiurban,N,
LP001099,Male,Yes,3+,Graduate,,3948.0,2033,211.0,120.0,1.0,Semiurban,Y,
LP001100,Female,Yes,2,Not Graduate,No,2919.0,0,64.0,240.0,,Semiurban,Y,
LP001101,Female,No,0,Not Graduate,No,2412.0,588,126.0,360.0,0.0,Semiurban,N,7802.0
LP001102,Male,No,,Not Graduate,No,4915.0,3917,272.0,360.0,1.0,Rural,Y,7008.0
LP001103,Male,Yes,2,Graduate,No,4598.0,0,167.0,180.0,1.0,Semiurban,Y,
LP001104,Female,Yes,0,Graduate,No,5764.0,0,246.0,360.0,1.0,Semiurban,Y,
LP001105,Male,Yes,0,Not Graduate,No,5409.0,1428,258.0,36.0,1.0,Semiurban,Y,1082.0
LP001106,Male,No,2,Graduate,No,4718.0,2478,238.0,360.0,0.0,Rural,N,
LP001107,Male,Yes,0,Graduate,No,5434.0,1169,230.0,360.0,1.0,Semiurban,Y,
LP001108,Male,Yes,0,Graduate,Yes,4150.0,516,182.0,360.0,1.0,Rural,Y,3703.0
LP001109,Male,Yes,3+,Graduate,No,5094.0,2551,257.0,240.0,1.0,Urban,Y,
LP001110,Female,Yes,1,Graduate,No,3051.0,2728,163.0,60.0,1.0,Semiurban,Y,
LP001111,Male,Yes,0,Graduate,,4996.0,0,192.0,360.0,1.0,Semiurban,Y,1280.0
LP001112,Male,Yes,0,Graduate,No,5715.0,1004,262.0,360.0,1.0,Semiurban,Y,3583.0
LP001113,Male,Yes,0,Graduate,No,3130.0,2108,,180.0,1.0,Urban,Y,
LP001114,Male,Yes,0,Not Graduate,No,4330.0,0,138.0,360.0,1.0,Semiurban,Y,2527.0
LP001115,Male,Yes,2,Graduate,No,3195.0,1079,180.0,,0.0,Urban,N,
LP001116,Female,Yes,2,Graduate,No,3338.0,0,65.0,120.0,0.0,Rural,N,2513.0
LP001117,Male,Yes,0,Graduate,No,2550.0,3315,174.0,180.0,0.0,Urban,N,939.0
LP001118,Male,No,0,Not Graduate,No,7477.0,1607,324.0,120.0,1.0,Urban,Y,
LP001119,Male,Yes,2,Graduate,No,6833.0,1527,,360.0,1.0,Semiurban,Y,
LP001120,Male,Yes,0,Graduate,Yes,5388.0,6456,391.0,360.0,1.0,Semiurban,Y,5196.0
LP001121,Male,Yes,0,Graduate,No,10275.0,2469,480.0,300.0,0.0,Urban,N,
LP001122,Male,Yes,0,Graduate,No,3885.0,2449,,360.0,1.0,Semiurban,Y,
LP001123,Male,Yes,1,Graduate,No,16553.0,1601,480.0,360.0,,Semiurban,Y,1210.0
LP001124,Male,Yes,0,Not Graduate,Yes,3818.0,1397,193.0,120.0,1.0,Urban,Y,
LP001125,Male,No,1,Graduate,No,4745.0,0,147.0,360.0,1.0,Semiurban,Y,1630.0
LP001126,Male,Yes,0,Graduate,No,3537.0,0,189.0,120.0,0.0,Semiurban,N,
LP001127,Male,Yes,1,Not Graduate,Yes,5002.0,2615,229.0,360.0,1.0,Rural,N,
LP001128,Male,Yes,0,Graduate,,6161.0,0,257.0,84.0,1.0,Urban,Y,
LP001129,Male,Yes,0,Not Graduate,No,4019.0,0,171.0,360.0,,Urban,N,
LP001130,Male,Yes,0,Graduate,No,9410.0,0,383.0,360.0,1.0,Rural,Y,
LP001131,Male,No,0,Graduate,No,4711.0,786,196.0,300.0,1.0,Semiurban,Y,3459.0
LP001132,Female,No,0,,No,4778.0,0,212.0,,0.0,Urban,N,
LP001133,Male,Yes,0,Graduate,No,2810.0,1011,99.0,360.0,1.0,Rural,Y,
LP001134,Male,Yes,0,Graduate,No,5107.0,5784,347.0,360.0,1.0,Urban,Y,
LP001135,Male,Yes,0,Not Graduate,No,3983.0,3379,230.0,180.0,,Rural,N,2276.0
LP001136,Male,Yes,3+,Graduate,No,3217.0,0,112.0,120.0,1.0,Semiurban,Y,
LP001137,Female,No,0,Graduate,No,2983.0,806,150.0,360.0,1.0,Rural,Y,1285.0
LP001138,Male,Yes,2,Graduate,No,14077.0,0,480.0,360.0,,Rural,Y,
LP001139,Male,Yes,,Graduate,Yes,3757.0,1505,179.0,360.0,0.0,Urban,N,
LP001140,Male,No,0,Graduate,No,2196.0,0,107.0,84.0,1.0,Rural,Y,8024.0
LP001141,Male,Yes,1,Graduate,No,3090.0,6418,285.0,84.0,1.0,Urban,Y,5773.0
LP001142,Male,Yes,2,Graduate,No,4133.0,0,143.0,84.0,,Semiurban,Y,
LP001143,Female,No,1,Graduate,No,5410.0,2657,,360.0,1.0,Semiurban,Y,
LP001144,Male,Yes,0,Graduate,No,5430.0,0,210.0,360.0,1.0,Urban,Y,6133.0
LP001145,Male,Yes,0,Not Graduate,No,5736.0,3082,289.0,180.0,0.0,Urban,N,
LP001146,Male,Yes,0,Graduate,Yes,3165.0,1590,177.0,180.0,1.0,Urban,Y,2880.0
LP001147,Male,No,0,Not Graduate,No,4931.0,0,203.0,360.0,0.0,Urban,N,
LP001148,Male,Yes,3+,Graduate,Yes,2852.0,0,74.0,360.0,1.0,Urban,Y,
LP001149,Male,Yes,3+,Not Graduate,Yes,3201.0,0,87.0,360.0,1.0,Rural,Y,
LP001150,Male,Yes,0,Graduate,Yes,2799.0,0,123.0,360.0,1.0,Semiurban,Y,2859.0
LP001151,Female,Yes,1,Graduate,No,2478.0,2229,134.0,360.0,1.0,Rural,Y,
LP001152,Female,Yes,0,Not Graduate,Yes,6829.0,4309,388.0,360.0,0.0,Rural,Y,2473.0
LP001153,Male,Yes,2,Graduate,,5767.0,0,250.0,360.0,1.0,,Y,9323.0
LP001154,Male,Yes,0,Graduate,No,6565.0,1148,260.0,300.0,1.0,Semiurban,Y,2879.0
LP001155,Male,Yes,3+,Graduate,No,4306.0,0,137.0,180.0,1.0,Rural,Y,
LP001156,Male,No,2,Graduate,No,6000.0,2322,340.0,300.0,0.0,Semiurban,N,3890.0
LP001157,Male,Yes,0,Graduate,,1915.0,2079,137.0,360.0,1.0,Semiurban,Y,
LP001158,Male,No,,Graduate,,6238.0,1512,277.0,360.0,1.0,Rural,Y,
LP001159,Male,Yes,2,Graduate,No,4581.0,1087,187.0,360.0,1.0,Semiurban,Y,
LP001160,Male,Yes,0,Graduate,No,5609.0,935,235.0,360.0,0.0,Semiurban,Y,
LP001161,,,0,Graduate,Yes,5019.0,1941,220.0,360.0,1.0,Rural,Y,
LP001162,Female,No,2,Graduate,No,2713.0,0,131.0,180.0,,Semiurban,Y,3168.0
LP001163,Male,Yes,0,Graduate,No,2156.0,1324,100.0,180.0,0.0,Rural,N,6483.0
LP001164,Male,No,0,Graduate,No,3070.0,5056,277.0,120.0,1.0,Urban,Y,
LP001165,Male,Yes,0,Graduate,No,5455.0,1902,256.0,360.0,,Urban,Y,
LP001166,Male,Yes,0,Graduate,No,5771.0,0,205.0,360.0,1.0,Semiurban,Y,
LP001167,Female,No,3+,Graduate,No,2286.0,0,81.0,360.0,1.0,Urban,Y,
LP001168,Male,Yes,0,Graduate,No,2720.0,2314,101.0,360.0,1.0,Rural,Y,1123.0
LP001169,Male,No,0,Graduate,No,3055.0,1933,168.0,360.0,1.0,Urban,Y,
LP001170,Female,Yes,0,Graduate,No,3602.0,722,158.0,360.0,1.0,Semiurban,Y,2288.0
LP001171,Male,No,3+,Graduate,,2292.0,4708,230.0,360.0,1.0,Urban,N,
LP001172,Male,Yes,0,Graduate,,2231.0,1843,88.0,360.0,1.0,Rural,Y,
LP001173,Male,Yes,2,Not Graduate,No,2922.0,0,146.0,60.0,1.0,Semiurban,Y,5989.0
LP001174,Female,Yes,1,Graduate,Yes,4398.0,1273,228.0,60.0,1.0,Urban,Y,
LP001175,Male,Yes,2,Graduate,No,2487.0,0,131.0,360.0,1.0,Urban,Y,
LP001176,Male,Yes,3+,Graduate,No,4015.0,0,159.0,120.0,1.0,Semiurban,Y,
LP001177,Male,Yes,2,Graduate,No,6811.0,0,298.0,360.0,1.0,Rural,Y,2137.0
LP001178,Female,Yes,3+,Graduate,No,2355.0,2409,118.0,180.0,1.0,Rural,Y,3904.0
LP001179,Female,Yes,0,Graduate,Yes,3855.0,2490,234.0,120.0,1.0,Urban,Y,1882.0
LP001180,Male,Yes,,Graduate,,6709.0,4514,362.0,180.0,1.0,Semiurban,Y,
LP001181,Female,No,0,Graduate,,3504.0,0,99.0,180.0,0.0,Urban,N,2477.0
LP001182,Female,No,0,Not Graduate,No,3268.0,3163,182.0,360.0,1.0,Semiurban,Y,1410.0
LP001183,Male,No,2,Not Graduate,No,7141.0,851,307.0,240.0,1.0,Semiurban,Y,2155.0
LP001184,Male,Yes,3+,Graduate,Yes,3686.0,1316,160.0,360.0,1.0,Urban,Y,
LP001185,Male,No,1,Graduate,No,6954.0,1094,315.0,360.0,,Semiurban,Y,3484.0
LP001186,Male,Yes,0,Graduate,No,5131.0,3092,237.0,360.0,1.0,Rural,Y,
LP001187,Male,Yes,0,Graduate,No,3625.0,2214,147.0,180.0,1.0,Urban,Y,
LP001188,Male,Yes,0,Not Graduate,No,5249.0,868,266.0,360.0,0.0,Urban,N,
LP001189,Male,No,0,Graduate,,4886.0,1784,263.0,360.0,1.0,Urban,Y,
LP001190,Male,Yes,0,Not Graduate,No,6697.0,0,242.0,300.0,1.0,Urban,Y,
LP001191,Female,Yes,0,Not Graduate,No,3305.0,0,132.0,360.0,1.0,Urban,Y,
