Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001001,Male,Yes,0,Not Graduate,No,1686,1020,80,360,1,Semiurban,Y
LP001002,Male,Yes,0,Not Graduate,No,2437,1201,122,360,1,Urban,Y
LP001003,Female,No,0,Graduate,No,8313,1065,319,360,1,Urban,Y
LP001004,Male,Yes,0,Graduate,No,5069,0,218,360,1,Semiurban,Y
LP001005,Male,No,2,Graduate,No,3002,2283,194,360,0,Urban,N
LP001006,Female,Yes,0,Graduate,No,3918,1966,219,360,1,,Y
LP001007,Male,No,0,Graduate,No,4255,2274,205,360,1,Rural,Y
LP001008,,Yes,0,Not Graduate,Yes,5890,2699,305,360,1,Urban,Y
LP001009,Male,No,0,Not Graduate,No,2296,1371,104,360,1,Semiurban,Y
LP001010,Male,Yes,0,Graduate,No,2897,4815,228,240,1,Semiurban,Y
LP001011,Male,Yes,1,Graduate,No,4783,0,245,360,1,Urban,Y
LP001012,Female,No,0,Not Graduate,No,4044,1541,203,360,1,Urban,Y
LP001013,Male,No,2,Not Graduate,No,5472,0,189,360,1,Urban,Y
LP001014,Female,No,3+,Graduate,No,2433,664,118,360,,Urban,Y
LP001015,Male,Yes,0,Graduate,No,4968,1243,196,360,1,Urban,Y
LP001016,Male,Yes,0,Not Graduate,No,6913,3600,337,360,1,Urban,Y
LP001017,Male,,0,Graduate,No,5266,0,185,360,1,Urban,Y
LP001018,Male,Yes,1,Graduate,No,4503,0,169,360,1,Rural,Y
LP001019,Female,No,0,Not Graduate,Yes,4052,4948,309,360,1,Urban,Y
LP001020,Male,No,2,Not Graduate,No,2905,1601,171,180,1,Urban,Y
LP001021,Male,No,2,Not Graduate,No,4095,0,177,360,0,Semiurban,N
LP001022,Male,No,2,Not Graduate,Yes,7457,3911,369,360,0,Urban,N
LP001023,Female,No,0,Graduate,Yes,4010,0,147,360,1,Semiurban,Y
LP001024,Female,No,3+,Graduate,No,2834,3363,204,360,1,Urban,Y
LP001025,Male,Yes,0,,No,3390,0,120,360,1,Semiurban,Y
LP001026,Male,Yes,0,Graduate,No,4630,0,178,360,1,Semiurban,Y
LP001027,Male,Yes,0,Graduate,,3576,0,154,360,1,Semiurban,Y
LP001028,,No,3+,Graduate,No,5263,2454,263,,1,,Y
LP001029,Male,Yes,0,Graduate,No,5352,4003,320,360,0,Semiurban,N
LP001030,Male,Yes,2,Graduate,No,6311,1789,337,360,0,Urban,N
LP001031,Male,No,0,Graduate,Yes,8027,932,340,360,1,Urban,Y
LP001032,Female,Yes,3+,Graduate,No,6622,0,294,360,1,Semiurban,Y
LP001033,Male,Yes,0,Graduate,No,2778,0,125,360,1,Urban,Y
LP001034,Male,No,0,Graduate,No,2817,0,76,180,1,Urban,Y
LP001035,Male,No,3+,Not Graduate,Yes,4088,2531,199,180,0,Semiurban,N
LP001036,Male,Yes,0,Graduate,Yes,3453,0,117,360,1,Urban,Y
LP001037,Male,No,0,Graduate,No,2535,3164,159,360,,Urban,Y
LP001038,Male,Yes,1,Graduate,No,3468,0,136,360,1,Semiurban,Y
LP001039,Male,No,0,Graduate,No,3417,0,152,360,1,Semiurban,Y
LP001040,Male,Yes,0,Graduate,,3126,0,156,360,1,Rural,Y
LP001041,Male,Yes,0,Graduate,No,3670,0,155,360,1,Rural,N
LP001042,Female,Yes,0,Graduate,No,7189,435,287,360,1,Rural,Y
LP001043,Male,Yes,2,Graduate,No,4627,3225,214,120,1,Semiurban,Y
LP001044,Male,No,1,Graduate,No,12866,0,480,360,1,Urban,Y
LP001045,Female,Yes,0,Graduate,No,4568,1562,222,360,1,Semiurban,Y
LP001046,Male,Yes,0,Graduate,No,3713,5516,291,360,1,Semiurban,Y
LP001047,Male,Yes,0,Graduate,No,4238,1302,,360,,Semiurban,Y
LP001048,,No,1,Graduate,No,4748,1329,254,360,1,Urban,Y
LP001049,Male,No,3+,Not Graduate,,5145,1848,272,300,1,Urban,Y
LP001050,Male,No,3+,Graduate,No,10770,2561,471,180,1,Urban,Y
LP001051,Male,Yes,0,Graduate,No,2892,1533,141,360,1,Urban,Y
LP001052,Male,Yes,0,Graduate,No,6227,777,266,180,1,,Y
LP001053,Male,Yes,0,Graduate,Yes,4645,1189,196,360,1,Rural,Y
LP001054,Male,Yes,0,Graduate,No,2086,0,96,360,1,Urban,Y
LP001055,Male,No,0,Not Graduate,Yes,5984,2090,301,360,1,Semiurban,Y
LP001056,Male,No,1,Not Graduate,Yes,7483,2619,338,360,1,Rural,Y
LP001057,Male,Yes,0,Graduate,No,2876,0,145,360,1,Urban,Y
LP001058,Male,Yes,0,Graduate,No,4213,1345,205,360,1,Semiurban,Y
LP001059,Male,No,0,Not Graduate,No,1946,5467,171,360,1,Semiurban,Y
LP001060,Male,Yes,0,Graduate,No,2401,0,95,120,1,Urban,Y
LP001061,Male,Yes,0,Graduate,No,6779,1531,316,360,1,Semiurban,Y
LP001062,Male,Yes,0,Graduate,No,3429,3857,258,240,0,Rural,N
LP001063,Male,Yes,1,Graduate,Yes,2568,1295,127,360,1,Semiurban,Y
LP001064,,Yes,0,Graduate,No,4690,0,208,120,0,Rural,N
LP001065,Male,Yes,0,Graduate,No,3344,0,138,360,,Rural,Y
LP001066,Male,Yes,0,Not Graduate,No,3423,1999,154,360,0,Urban,N
LP001067,Male,Yes,2,Graduate,No,5900,0,201,360,0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,2508,0,128,120,0,Semiurban,N
LP001069,Male,Yes,2,Graduate,No,2815,0,142,360,1,Semiurban,Y
LP001070,Male,No,3+,Graduate,No,4534,0,189,,1,Semiurban,Y
LP001071,Male,No,1,Graduate,No,6544,2430,360,180,1,Semiurban,Y
LP001072,Male,Yes,1,Graduate,No,7385,2044,373,360,1,Rural,Y
