Age,Experience,Salary
25,4,30794
52,23,103892
47,15,75315
39,16,67706
38,2,43926
55,32,113777
25,4,47102
49,14,62503
29,6,33601
25,2,49356
42,5,48452
60,28,90398
50,7,67926
51,9,72460
49,15,57931
52,26,100954
42,8,67627
26,2,41293
54,1,62184
39,2,29049
41,1,49472
36,1,38369
29,7,42107
58,30,120047
52,26,115951
47,1,71232
37,1,58478
54,9,67683
43,13,72733
39,6,62302
39,9,59954
30,1,39369
25,3,47785
43,7,56989
56,2,49049
24,2,30426
55,31,116907
54,0,52836
32,5,50483
46,21,93041
28,5,39102
51,26,106575
49,12,75446
35,5,33682
24,2,52708
59,5,59291
39,4,29639
56,21,79459
48,18,68747
52,3,57426
51,15,74414
29,3,36658
36,8,62036
40,19,81279
41,1,49293
23,2,39618
43,10,70494
28,6,20105
50,12,67227
48,8,36837
57,27,103933
51,21,88444
36,2,56346
59,25,115552
38,13,67433
34,5,41796
57,33,120122
36,10,51865
24,1,33583
40,0,54834
53,22,85007
29,1,46768
40,15,78129
27,3,27842
48,13,83687
40,3,56783
34,9,56223
30,1,28652
44,10,53490
48,23,83548
58,33,121511
39,18,63232
28,7,52450
54,18,70299
46,5,53751
49,24,93816
25,4,69042
34,13,45672
51,20,104364
54,4,61798
38,9,62734
53,14,78720
54,28,108537
37,6,49856
57,11,92149
33,1,34422
31,9,66487
48,21,78668
46,1,48277
27,3,26436
54,16,87060
29,4,59842
53,30,105172
22,0,28037
53,10,56725
52,5,57648
52,7,44886
47,24,80145
40,18,78121
49,1,66928
32,7,83711
52,7,56961
43,4,69524
39,5,54225
41,4,49085
44,11,70791
23,2,35443
27,4,42425
31,7,44400
26,2,20023
39,0,23776
48,2,60039
47,7,57180
40,4,43047
55,29,105802
44,20,91339
25,4,41864
51,19,77027
44,13,83916
46,16,94950
44,9,67935
43,15,83784
25,3,52804
43,17,89261
53,20,95469
33,0,45280
45,18,85136
23,1,19732
35,11,67709
39,10,44030
60,31,103265
30,3,57043
32,11,67283
37,14,83949
60,11,73540
55,16,68473
23,1,30015
31,8,52324
54,23,95148
24,3,50804
55,12,70765
32,6,52424
57,15,70036
33,11,63304
38,5,50637
47,15,65902
26,0,30370
43,19,77090
41,8,54858
52,10,90656
60,20,91819
47,13,68373
37,14,40931
37,9,46370
38,9,54643
53,3,49270
34,0,55380
28,3,38021
35,14,80161
