cgpa,package
6.89,3.26
5.12,1.98
7.82,3.25
7.42,3.67
6.94,3.57
7.89,2.99
6.73,2.6
6.75,2.48
6.09,2.31
8.31,3.51
5.32,1.86
6.95,3.05
5.4,2.3
7.46,3.14
7.68,3.16
4.36,1.5
5.1,1.38
6.75,2.33
6.24,2.1
6.58,2.39
5.62,2.33
7.61,2.96
7.49,3.07
6.68,3.17
7.9,3.29
7.14,3.24
5.61,1.9
7.02,2.88
5.5,1.83
7.61,3.14
6.54,2.96
6.39,2.05
5.82,2.44
8.01,3.54
6.42,2.43
6.11,1.99
6.2,2.53
7.21,2.87
7.02,3.02
7.07,2.98
7.1,3.49
9.06,3.95
6.13,2.14
6.01,2.46
5.66,2.29
7.31,3.53
7.9,3.67
6.47,2.76
5.63,2.67
5.65,1.84
7.35,2.91
7.45,2.87
7.22,2.92
5.83,1.87
6.87,3.06
6.73,2.72
6.85,2.38
7.6,2.92
6.86,2.95
7.38,3.4
6.68,3.4
6.93,3.83
7.33,3.24
4.92,1.51
6.23,1.84
6.06,2.52
5.87,2.07
6.28,2.42
8.32,3.43
5.6,2.15
7.71,3.65
4.66,1.74
6.21,2.46
6.79,2.49
7.27,2.54
7.42,3.0
7.51,3.18
6.2,3.07
6.07,2.48
7.59,3.56
6.38,2.44
5.13,1.56
5.3,1.72
5.54,1.93
7.17,3.7
6.76,2.54
7.39,3.41
6.11,2.17
6.78,3.11
7.32,3.22
6.24,2.48
7.13,2.98
5.84,2.11
6.18,2.64
6.16,2.34
5.22,1.6
7.16,2.61
6.06,2.49
6.61,3.23
7.15,3.06
